,id,content,tokens,features,sentiment
1135,robson-raquel-2019-bodas,"25 Years together, and we remain in love as on the first day!!","['25', 'years', 'together', 'remain', 'love', 'first', 'day']","{'length': 39, 'lexdiv': 1.0, 'longestword': 'together', 'unigram(25)': True, 'unigram(years)': True, 'unigram(together)': True, 'unigram(remain)': True, 'unigram(love)': True, 'unigram(first)': True, 'unigram(day)': True, ""bigram(('25', 'years'))"": True, ""bigram(('years', 'together'))"": True, ""bigram(('together', 'remain'))"": True, ""bigram(('remain', 'love'))"": True, ""bigram(('love', 'first'))"": True, ""bigram(('first', 'day'))"": True, ""trigram(('25', 'years', 'together'))"": True, ""trigram(('years', 'together', 'remain'))"": True, ""trigram(('together', 'remain', 'love'))"": True, ""trigram(('remain', 'love', 'first'))"": True, ""trigram(('love', 'first', 'day'))"": True}",love
1136,rhanna-raul,Is serenity blue a hard color to find?,"['serenity', 'blue', 'hard', 'color', 'find']","{'length': 29, 'lexdiv': 1.0, 'longestword': 'serenity', 'unigram(serenity)': True, 'unigram(blue)': True, 'unigram(hard)': True, 'unigram(color)': True, 'unigram(find)': True, ""bigram(('serenity', 'blue'))"": True, ""bigram(('blue', 'hard'))"": True, ""bigram(('hard', 'color'))"": True, ""bigram(('color', 'find'))"": True, ""trigram(('serenity', 'blue', 'hard'))"": True, ""trigram(('blue', 'hard', 'color'))"": True, ""trigram(('hard', 'color', 'find'))"": True}",hate
1137,raquel-john-removido-1553526426,Excellent app,"['excellent', 'app']","{'length': 13, 'lexdiv': 1.0, 'longestword': 'excellent', 'unigram(excellent)': True, 'unigram(app)': True, ""bigram(('excellent', 'app'))"": True}",happiness
1138,raquel-john-removido-1553526426,Beautiful,['beautiful'],"{'length': 9, 'lexdiv': 1.0, 'longestword': 'beautiful', 'unigram(beautiful)': True}",happiness
1139,casamento-aline-evandro2019,Tomorrow I will pass from bridal to the happiest wife in the world!!! heart already fired!!!!,"['tomorrow', 'pass', 'bridal', 'happiest', 'wife', 'world', 'heart', 'already', 'fired']","{'length': 60, 'lexdiv': 1.0, 'longestword': 'happiest', 'unigram(tomorrow)': True, 'unigram(pass)': True, 'unigram(bridal)': True, 'unigram(happiest)': True, 'unigram(wife)': True, 'unigram(world)': True, 'unigram(heart)': True, 'unigram(already)': True, 'unigram(fired)': True, ""bigram(('tomorrow', 'pass'))"": True, ""bigram(('pass', 'bridal'))"": True, ""bigram(('bridal', 'happiest'))"": True, ""bigram(('happiest', 'wife'))"": True, ""bigram(('wife', 'world'))"": True, ""bigram(('world', 'heart'))"": True, ""bigram(('heart', 'already'))"": True, ""bigram(('already', 'fired'))"": True, ""trigram(('tomorrow', 'pass', 'bridal'))"": True, ""trigram(('pass', 'bridal', 'happiest'))"": True, ""trigram(('bridal', 'happiest', 'wife'))"": True, ""trigram(('happiest', 'wife', 'world'))"": True, ""trigram(('wife', 'world', 'heart'))"": True, ""trigram(('world', 'heart', 'already'))"": True, ""trigram(('heart', 'already', 'fired'))"": True}",love
1140,dayanaegerson,35 days for our SIM 😍💕,"['35', 'days', 'sim', '😍💕']","{'length': 14, 'lexdiv': 1.0, 'longestword': 'days', 'unigram(35)': True, 'unigram(days)': True, 'unigram(sim)': True, 'unigram(😍💕)': True, ""bigram(('35', 'days'))"": True, ""bigram(('days', 'sim'))"": True, ""bigram(('sim', '😍💕'))"": True, ""trigram(('35', 'days', 'sim'))"": True, ""trigram(('days', 'sim', '😍💕'))"": True}",neutral
1141,raimundo-adriana,Congratulations to wedy,"['congratulations', 'wedy']","{'length': 20, 'lexdiv': 1.0, 'longestword': 'congratulations', 'unigram(congratulations)': True, 'unigram(wedy)': True, ""bigram(('congratulations', 'wedy'))"": True}",happiness
1142,ingrid-jose-2019,"Nothing better than starting our film, with the following phrase - were so rare and always good. That's exactly what life is made of, moments. Moments that we have to spend, whether good or bad, being close or distant from each other, for our own learning and for the strengthening of the couple. Never forgetting the most important thing: Nothing in this life is by chance. Absolutely nothing. Then God allowed Joseph and Ingrid to know each other and there would begin a small story, which later a seed of the formation of a family would be born in their hearts. Well, today we report a few moments that through this time of singles, we share with you.","['nothing', 'better', 'starting', 'film', 'following', 'phrase', 'rare', 'always', 'good', 'thats', 'exactly', 'life', 'made', 'moments', 'moments', 'spend', 'whether', 'good', 'bad', 'close', 'distant', 'learning', 'strengthening', 'couple', 'never', 'forgetting', 'important', 'thing', 'nothing', 'life', 'chance', 'absolutely', 'nothing', 'god', 'allowed', 'joseph', 'ingrid', 'know', 'would', 'begin', 'small', 'story', 'later', 'seed', 'formation', 'family', 'would', 'born', 'hearts', 'well', 'today', 'report', 'moments', 'time', 'singles', 'share']","{'length': 387, 'lexdiv': 0.875, 'longestword': 'strengthening', 'repeats(nothing)': 3, 'repeats(good)': 2, 'repeats(life)': 2, 'repeats(moments)': 3, 'repeats(thing)': 4, 'repeats(would)': 2, 'unigram(nothing)': True, 'unigram(better)': True, 'unigram(starting)': True, 'unigram(film)': True, 'unigram(following)': True, 'unigram(phrase)': True, 'unigram(rare)': True, 'unigram(always)': True, 'unigram(good)': True, 'unigram(thats)': True, 'unigram(exactly)': True, 'unigram(life)': True, 'unigram(made)': True, 'unigram(moments)': True, 'unigram(spend)': True, 'unigram(whether)': True, 'unigram(bad)': True, 'unigram(close)': True, 'unigram(distant)': True, 'unigram(learning)': True, 'unigram(strengthening)': True, 'unigram(couple)': True, 'unigram(never)': True, 'unigram(forgetting)': True, 'unigram(important)': True, 'unigram(thing)': True, 'unigram(chance)': True, 'unigram(absolutely)': True, 'unigram(god)': True, 'unigram(allowed)': True, 'unigram(joseph)': True, 'unigram(ingrid)': True, 'unigram(know)': True, 'unigram(would)': True, 'unigram(begin)': True, 'unigram(small)': True, 'unigram(story)': True, 'unigram(later)': True, 'unigram(seed)': True, 'unigram(formation)': True, 'unigram(family)': True, 'unigram(born)': True, 'unigram(hearts)': True, 'unigram(well)': True, 'unigram(today)': True, 'unigram(report)': True, 'unigram(time)': True, 'unigram(singles)': True, 'unigram(share)': True, ""bigram(('nothing', 'better'))"": True, ""bigram(('better', 'starting'))"": True, ""bigram(('starting', 'film'))"": True, ""bigram(('film', 'following'))"": True, ""bigram(('following', 'phrase'))"": True, ""bigram(('phrase', 'rare'))"": True, ""bigram(('rare', 'always'))"": True, ""bigram(('always', 'good'))"": True, ""bigram(('good', 'thats'))"": True, ""bigram(('thats', 'exactly'))"": True, ""bigram(('exactly', 'life'))"": True, ""bigram(('life', 'made'))"": True, ""bigram(('made', 'moments'))"": True, ""bigram(('moments', 'moments'))"": True, ""bigram(('moments', 'spend'))"": True, ""bigram(('spend', 'whether'))"": True, ""bigram(('whether', 'good'))"": True, ""bigram(('good', 'bad'))"": True, ""bigram(('bad', 'close'))"": True, ""bigram(('close', 'distant'))"": True, ""bigram(('distant', 'learning'))"": True, ""bigram(('learning', 'strengthening'))"": True, ""bigram(('strengthening', 'couple'))"": True, ""bigram(('couple', 'never'))"": True, ""bigram(('never', 'forgetting'))"": True, ""bigram(('forgetting', 'important'))"": True, ""bigram(('important', 'thing'))"": True, ""bigram(('thing', 'nothing'))"": True, ""bigram(('nothing', 'life'))"": True, ""bigram(('life', 'chance'))"": True, ""bigram(('chance', 'absolutely'))"": True, ""bigram(('absolutely', 'nothing'))"": True, ""bigram(('nothing', 'god'))"": True, ""bigram(('god', 'allowed'))"": True, ""bigram(('allowed', 'joseph'))"": True, ""bigram(('joseph', 'ingrid'))"": True, ""bigram(('ingrid', 'know'))"": True, ""bigram(('know', 'would'))"": True, ""bigram(('would', 'begin'))"": True, ""bigram(('begin', 'small'))"": True, ""bigram(('small', 'story'))"": True, ""bigram(('story', 'later'))"": True, ""bigram(('later', 'seed'))"": True, ""bigram(('seed', 'formation'))"": True, ""bigram(('formation', 'family'))"": True, ""bigram(('family', 'would'))"": True, ""bigram(('would', 'born'))"": True, ""bigram(('born', 'hearts'))"": True, ""bigram(('hearts', 'well'))"": True, ""bigram(('well', 'today'))"": True, ""bigram(('today', 'report'))"": True, ""bigram(('report', 'moments'))"": True, ""bigram(('moments', 'time'))"": True, ""bigram(('time', 'singles'))"": True, ""bigram(('singles', 'share'))"": True, ""trigram(('nothing', 'better', 'starting'))"": True, ""trigram(('better', 'starting', 'film'))"": True, ""trigram(('starting', 'film', 'following'))"": True, ""trigram(('film', 'following', 'phrase'))"": True, ""trigram(('following', 'phrase', 'rare'))"": True, ""trigram(('phrase', 'rare', 'always'))"": True, ""trigram(('rare', 'always', 'good'))"": True, ""trigram(('always', 'good', 'thats'))"": True, ""trigram(('good', 'thats', 'exactly'))"": True, ""trigram(('thats', 'exactly', 'life'))"": True, ""trigram(('exactly', 'life', 'made'))"": True, ""trigram(('life', 'made', 'moments'))"": True, ""trigram(('made', 'moments', 'moments'))"": True, ""trigram(('moments', 'moments', 'spend'))"": True, ""trigram(('moments', 'spend', 'whether'))"": True, ""trigram(('spend', 'whether', 'good'))"": True, ""trigram(('whether', 'good', 'bad'))"": True, ""trigram(('good', 'bad', 'close'))"": True, ""trigram(('bad', 'close', 'distant'))"": True, ""trigram(('close', 'distant', 'learning'))"": True, ""trigram(('distant', 'learning', 'strengthening'))"": True, ""trigram(('learning', 'strengthening', 'couple'))"": True, ""trigram(('strengthening', 'couple', 'never'))"": True, ""trigram(('couple', 'never', 'forgetting'))"": True, ""trigram(('never', 'forgetting', 'important'))"": True, ""trigram(('forgetting', 'important', 'thing'))"": True, ""trigram(('important', 'thing', 'nothing'))"": True, ""trigram(('thing', 'nothing', 'life'))"": True, ""trigram(('nothing', 'life', 'chance'))"": True, ""trigram(('life', 'chance', 'absolutely'))"": True, ""trigram(('chance', 'absolutely', 'nothing'))"": True, ""trigram(('absolutely', 'nothing', 'god'))"": True, ""trigram(('nothing', 'god', 'allowed'))"": True, ""trigram(('god', 'allowed', 'joseph'))"": True, ""trigram(('allowed', 'joseph', 'ingrid'))"": True, ""trigram(('joseph', 'ingrid', 'know'))"": True, ""trigram(('ingrid', 'know', 'would'))"": True, ""trigram(('know', 'would', 'begin'))"": True, ""trigram(('would', 'begin', 'small'))"": True, ""trigram(('begin', 'small', 'story'))"": True, ""trigram(('small', 'story', 'later'))"": True, ""trigram(('story', 'later', 'seed'))"": True, ""trigram(('later', 'seed', 'formation'))"": True, ""trigram(('seed', 'formation', 'family'))"": True, ""trigram(('formation', 'family', 'would'))"": True, ""trigram(('family', 'would', 'born'))"": True, ""trigram(('would', 'born', 'hearts'))"": True, ""trigram(('born', 'hearts', 'well'))"": True, ""trigram(('hearts', 'well', 'today'))"": True, ""trigram(('well', 'today', 'report'))"": True, ""trigram(('today', 'report', 'moments'))"": True, ""trigram(('report', 'moments', 'time'))"": True, ""trigram(('moments', 'time', 'singles'))"": True, ""trigram(('time', 'singles', 'share'))"": True}",relief
1143,thamiris-victor-2020,Do you have a group of brides? I'd really like to come in for you to help me! Thank you ❤️,"['group', 'brides', 'id', 'really', 'like', 'come', 'help', 'thank', '❤️']","{'length': 46, 'lexdiv': 1.0, 'longestword': 'really', 'repeats(id)': 2, 'unigram(group)': True, 'unigram(brides)': True, 'unigram(id)': True, 'unigram(really)': True, 'unigram(like)': True, 'unigram(come)': True, 'unigram(help)': True, 'unigram(thank)': True, 'unigram(❤️)': True, ""bigram(('group', 'brides'))"": True, ""bigram(('brides', 'id'))"": True, ""bigram(('id', 'really'))"": True, ""bigram(('really', 'like'))"": True, ""bigram(('like', 'come'))"": True, ""bigram(('come', 'help'))"": True, ""bigram(('help', 'thank'))"": True, ""bigram(('thank', '❤️'))"": True, ""trigram(('group', 'brides', 'id'))"": True, ""trigram(('brides', 'id', 'really'))"": True, ""trigram(('id', 'really', 'like'))"": True, ""trigram(('really', 'like', 'come'))"": True, ""trigram(('like', 'come', 'help'))"": True, ""trigram(('come', 'help', 'thank'))"": True, ""trigram(('help', 'thank', '❤️'))"": True}",happiness
1144,alandra-ezio,"HELLO GOOD NIGHT... MY HUSBAND AND I HAVE BEEN MARRIED FOR 13 YEARS IN THE CIVILIAN, WE HAVE TWIN DAUGHTERS OF 12 YEARS AND 1 BOY OF 7. AND WE DECIDED TO GET MARRIED NEXT YEAR IN CHURCH. BRING THE HONOR OF OUR PARENTS ENTERING WITH US INTO THE CHURCH..","['hello', 'good', 'night', 'husband', 'married', '13', 'years', 'civilian', 'twin', 'daughters', '12', 'years', '1', 'boy', '7.', 'decided', 'get', 'married', 'next', 'year', 'church', 'bring', 'honor', 'parents', 'entering', 'us', 'church..']","{'length': 161, 'lexdiv': 0.9259259259259259, 'longestword': 'daughters', 'repeats(married)': 2, 'repeats(years)': 2, 'repeats(1)': 3, 'repeats(year)': 3, 'repeats(church)': 2, 'repeats(us)': 2, 'unigram(hello)': True, 'unigram(good)': True, 'unigram(night)': True, 'unigram(husband)': True, 'unigram(married)': True, 'unigram(13)': True, 'unigram(years)': True, 'unigram(civilian)': True, 'unigram(twin)': True, 'unigram(daughters)': True, 'unigram(12)': True, 'unigram(1)': True, 'unigram(boy)': True, 'unigram(7.)': True, 'unigram(decided)': True, 'unigram(get)': True, 'unigram(next)': True, 'unigram(year)': True, 'unigram(church)': True, 'unigram(bring)': True, 'unigram(honor)': True, 'unigram(parents)': True, 'unigram(entering)': True, 'unigram(us)': True, 'unigram(church..)': True, ""bigram(('hello', 'good'))"": True, ""bigram(('good', 'night'))"": True, ""bigram(('night', 'husband'))"": True, ""bigram(('husband', 'married'))"": True, ""bigram(('married', '13'))"": True, ""bigram(('13', 'years'))"": True, ""bigram(('years', 'civilian'))"": True, ""bigram(('civilian', 'twin'))"": True, ""bigram(('twin', 'daughters'))"": True, ""bigram(('daughters', '12'))"": True, ""bigram(('12', 'years'))"": True, ""bigram(('years', '1'))"": True, ""bigram(('1', 'boy'))"": True, ""bigram(('boy', '7.'))"": True, ""bigram(('7.', 'decided'))"": True, ""bigram(('decided', 'get'))"": True, ""bigram(('get', 'married'))"": True, ""bigram(('married', 'next'))"": True, ""bigram(('next', 'year'))"": True, ""bigram(('year', 'church'))"": True, ""bigram(('church', 'bring'))"": True, ""bigram(('bring', 'honor'))"": True, ""bigram(('honor', 'parents'))"": True, ""bigram(('parents', 'entering'))"": True, ""bigram(('entering', 'us'))"": True, ""bigram(('us', 'church..'))"": True, ""trigram(('hello', 'good', 'night'))"": True, ""trigram(('good', 'night', 'husband'))"": True, ""trigram(('night', 'husband', 'married'))"": True, ""trigram(('husband', 'married', '13'))"": True, ""trigram(('married', '13', 'years'))"": True, ""trigram(('13', 'years', 'civilian'))"": True, ""trigram(('years', 'civilian', 'twin'))"": True, ""trigram(('civilian', 'twin', 'daughters'))"": True, ""trigram(('twin', 'daughters', '12'))"": True, ""trigram(('daughters', '12', 'years'))"": True, ""trigram(('12', 'years', '1'))"": True, ""trigram(('years', '1', 'boy'))"": True, ""trigram(('1', 'boy', '7.'))"": True, ""trigram(('boy', '7.', 'decided'))"": True, ""trigram(('7.', 'decided', 'get'))"": True, ""trigram(('decided', 'get', 'married'))"": True, ""trigram(('get', 'married', 'next'))"": True, ""trigram(('married', 'next', 'year'))"": True, ""trigram(('next', 'year', 'church'))"": True, ""trigram(('year', 'church', 'bring'))"": True, ""trigram(('church', 'bring', 'honor'))"": True, ""trigram(('bring', 'honor', 'parents'))"": True, ""trigram(('honor', 'parents', 'entering'))"": True, ""trigram(('parents', 'entering', 'us'))"": True, ""trigram(('entering', 'us', 'church..'))"": True}",relief
1145,ebanno-lorrane,We are engaged 1 year and already preparing for the great day 😍,"['engaged', '1', 'year', 'already', 'preparing', 'great', 'day', '😍']","{'length': 44, 'lexdiv': 1.0, 'longestword': 'preparing', 'unigram(engaged)': True, 'unigram(1)': True, 'unigram(year)': True, 'unigram(already)': True, 'unigram(preparing)': True, 'unigram(great)': True, 'unigram(day)': True, 'unigram(😍)': True, ""bigram(('engaged', '1'))"": True, ""bigram(('1', 'year'))"": True, ""bigram(('year', 'already'))"": True, ""bigram(('already', 'preparing'))"": True, ""bigram(('preparing', 'great'))"": True, ""bigram(('great', 'day'))"": True, ""bigram(('day', '😍'))"": True, ""trigram(('engaged', '1', 'year'))"": True, ""trigram(('1', 'year', 'already'))"": True, ""trigram(('year', 'already', 'preparing'))"": True, ""trigram(('already', 'preparing', 'great'))"": True, ""trigram(('preparing', 'great', 'day'))"": True, ""trigram(('great', 'day', '😍'))"": True}",relief
1146,guilherme-renata-12-07-2019,"Eighty tapes made, but a hundred more to go, it's a good wearer!","['eighty', 'tapes', 'made', 'hundred', 'go', 'good', 'wearer']","{'length': 40, 'lexdiv': 1.0, 'longestword': 'hundred', 'repeats(go)': 2, 'unigram(eighty)': True, 'unigram(tapes)': True, 'unigram(made)': True, 'unigram(hundred)': True, 'unigram(go)': True, 'unigram(good)': True, 'unigram(wearer)': True, ""bigram(('eighty', 'tapes'))"": True, ""bigram(('tapes', 'made'))"": True, ""bigram(('made', 'hundred'))"": True, ""bigram(('hundred', 'go'))"": True, ""bigram(('go', 'good'))"": True, ""bigram(('good', 'wearer'))"": True, ""trigram(('eighty', 'tapes', 'made'))"": True, ""trigram(('tapes', 'made', 'hundred'))"": True, ""trigram(('made', 'hundred', 'go'))"": True, ""trigram(('hundred', 'go', 'good'))"": True, ""trigram(('go', 'good', 'wearer'))"": True}",relief
1147,isabelly-claudio,6 days < 3 left,"['6', 'days', '3', 'left']","{'length': 13, 'lexdiv': 1.0, 'longestword': 'left', 'unigram(6)': True, 'unigram(days)': True, 'unigram(3)': True, 'unigram(left)': True, ""bigram(('6', 'days'))"": True, ""bigram(('days', '3'))"": True, ""bigram(('3', 'left'))"": True, ""trigram(('6', 'days', '3'))"": True, ""trigram(('days', '3', 'left'))"": True}",relief
1148,simone-guilherme-2019,"When bridesmaids besides beautiful and stripped, choose to leave Traditional using ALL STAR! Of course we support!! 🌹🌹🌹","['bridesmaids', 'besides', 'beautiful', 'stripped', 'choose', 'leave', 'traditional', 'using', 'star', 'course', 'support', '🌹🌹🌹']","{'length': 93, 'lexdiv': 1.0, 'longestword': 'traditional', 'unigram(bridesmaids)': True, 'unigram(besides)': True, 'unigram(beautiful)': True, 'unigram(stripped)': True, 'unigram(choose)': True, 'unigram(leave)': True, 'unigram(traditional)': True, 'unigram(using)': True, 'unigram(star)': True, 'unigram(course)': True, 'unigram(support)': True, 'unigram(🌹🌹🌹)': True, ""bigram(('bridesmaids', 'besides'))"": True, ""bigram(('besides', 'beautiful'))"": True, ""bigram(('beautiful', 'stripped'))"": True, ""bigram(('stripped', 'choose'))"": True, ""bigram(('choose', 'leave'))"": True, ""bigram(('leave', 'traditional'))"": True, ""bigram(('traditional', 'using'))"": True, ""bigram(('using', 'star'))"": True, ""bigram(('star', 'course'))"": True, ""bigram(('course', 'support'))"": True, ""bigram(('support', '🌹🌹🌹'))"": True, ""trigram(('bridesmaids', 'besides', 'beautiful'))"": True, ""trigram(('besides', 'beautiful', 'stripped'))"": True, ""trigram(('beautiful', 'stripped', 'choose'))"": True, ""trigram(('stripped', 'choose', 'leave'))"": True, ""trigram(('choose', 'leave', 'traditional'))"": True, ""trigram(('leave', 'traditional', 'using'))"": True, ""trigram(('traditional', 'using', 'star'))"": True, ""trigram(('using', 'star', 'course'))"": True, ""trigram(('star', 'course', 'support'))"": True, ""trigram(('course', 'support', '🌹🌹🌹'))"": True}",love
1149,simone-guilherme-2019,"NEW TEXT ON FEED: Being a bridesmaid is more than putting on a beautiful dress on your big day, being a bridesmaid goes much further, your bride friend will need help on this walk down the aisle and even more complicity when the big day arrives, she will want a lot more than her name on the bar, more than a photo of the animated class, much more than earning an expensive gift, she will want your presence, your affection, your love. And just knowing that the chosen bridesmaids have all these qualities, we feel that we choose the right bridesmaids. 🌸","['new', 'text', 'feed', 'bridesmaid', 'putting', 'beautiful', 'dress', 'big', 'day', 'bridesmaid', 'goes', 'much', 'bride', 'friend', 'need', 'help', 'walk', 'aisle', 'even', 'complicity', 'big', 'day', 'arrives', 'want', 'lot', 'name', 'bar', 'photo', 'animated', 'class', 'much', 'earning', 'expensive', 'gift', 'want', 'presence', 'affection', 'love', 'knowing', 'chosen', 'bridesmaids', 'qualities', 'feel', 'choose', 'right', 'bridesmaids', '🌸']","{'length': 308, 'lexdiv': 0.8723404255319149, 'longestword': 'bridesmaids', 'repeats(bridesmaid)': 4, 'repeats(big)': 2, 'repeats(day)': 2, 'repeats(much)': 2, 'repeats(bride)': 5, 'repeats(want)': 2, 'repeats(bridesmaids)': 2, 'unigram(new)': True, 'unigram(text)': True, 'unigram(feed)': True, 'unigram(bridesmaid)': True, 'unigram(putting)': True, 'unigram(beautiful)': True, 'unigram(dress)': True, 'unigram(big)': True, 'unigram(day)': True, 'unigram(goes)': True, 'unigram(much)': True, 'unigram(bride)': True, 'unigram(friend)': True, 'unigram(need)': True, 'unigram(help)': True, 'unigram(walk)': True, 'unigram(aisle)': True, 'unigram(even)': True, 'unigram(complicity)': True, 'unigram(arrives)': True, 'unigram(want)': True, 'unigram(lot)': True, 'unigram(name)': True, 'unigram(bar)': True, 'unigram(photo)': True, 'unigram(animated)': True, 'unigram(class)': True, 'unigram(earning)': True, 'unigram(expensive)': True, 'unigram(gift)': True, 'unigram(presence)': True, 'unigram(affection)': True, 'unigram(love)': True, 'unigram(knowing)': True, 'unigram(chosen)': True, 'unigram(bridesmaids)': True, 'unigram(qualities)': True, 'unigram(feel)': True, 'unigram(choose)': True, 'unigram(right)': True, 'unigram(🌸)': True, ""bigram(('new', 'text'))"": True, ""bigram(('text', 'feed'))"": True, ""bigram(('feed', 'bridesmaid'))"": True, ""bigram(('bridesmaid', 'putting'))"": True, ""bigram(('putting', 'beautiful'))"": True, ""bigram(('beautiful', 'dress'))"": True, ""bigram(('dress', 'big'))"": True, ""bigram(('big', 'day'))"": True, ""bigram(('day', 'bridesmaid'))"": True, ""bigram(('bridesmaid', 'goes'))"": True, ""bigram(('goes', 'much'))"": True, ""bigram(('much', 'bride'))"": True, ""bigram(('bride', 'friend'))"": True, ""bigram(('friend', 'need'))"": True, ""bigram(('need', 'help'))"": True, ""bigram(('help', 'walk'))"": True, ""bigram(('walk', 'aisle'))"": True, ""bigram(('aisle', 'even'))"": True, ""bigram(('even', 'complicity'))"": True, ""bigram(('complicity', 'big'))"": True, ""bigram(('day', 'arrives'))"": True, ""bigram(('arrives', 'want'))"": True, ""bigram(('want', 'lot'))"": True, ""bigram(('lot', 'name'))"": True, ""bigram(('name', 'bar'))"": True, ""bigram(('bar', 'photo'))"": True, ""bigram(('photo', 'animated'))"": True, ""bigram(('animated', 'class'))"": True, ""bigram(('class', 'much'))"": True, ""bigram(('much', 'earning'))"": True, ""bigram(('earning', 'expensive'))"": True, ""bigram(('expensive', 'gift'))"": True, ""bigram(('gift', 'want'))"": True, ""bigram(('want', 'presence'))"": True, ""bigram(('presence', 'affection'))"": True, ""bigram(('affection', 'love'))"": True, ""bigram(('love', 'knowing'))"": True, ""bigram(('knowing', 'chosen'))"": True, ""bigram(('chosen', 'bridesmaids'))"": True, ""bigram(('bridesmaids', 'qualities'))"": True, ""bigram(('qualities', 'feel'))"": True, ""bigram(('feel', 'choose'))"": True, ""bigram(('choose', 'right'))"": True, ""bigram(('right', 'bridesmaids'))"": True, ""bigram(('bridesmaids', '🌸'))"": True, ""trigram(('new', 'text', 'feed'))"": True, ""trigram(('text', 'feed', 'bridesmaid'))"": True, ""trigram(('feed', 'bridesmaid', 'putting'))"": True, ""trigram(('bridesmaid', 'putting', 'beautiful'))"": True, ""trigram(('putting', 'beautiful', 'dress'))"": True, ""trigram(('beautiful', 'dress', 'big'))"": True, ""trigram(('dress', 'big', 'day'))"": True, ""trigram(('big', 'day', 'bridesmaid'))"": True, ""trigram(('day', 'bridesmaid', 'goes'))"": True, ""trigram(('bridesmaid', 'goes', 'much'))"": True, ""trigram(('goes', 'much', 'bride'))"": True, ""trigram(('much', 'bride', 'friend'))"": True, ""trigram(('bride', 'friend', 'need'))"": True, ""trigram(('friend', 'need', 'help'))"": True, ""trigram(('need', 'help', 'walk'))"": True, ""trigram(('help', 'walk', 'aisle'))"": True, ""trigram(('walk', 'aisle', 'even'))"": True, ""trigram(('aisle', 'even', 'complicity'))"": True, ""trigram(('even', 'complicity', 'big'))"": True, ""trigram(('complicity', 'big', 'day'))"": True, ""trigram(('big', 'day', 'arrives'))"": True, ""trigram(('day', 'arrives', 'want'))"": True, ""trigram(('arrives', 'want', 'lot'))"": True, ""trigram(('want', 'lot', 'name'))"": True, ""trigram(('lot', 'name', 'bar'))"": True, ""trigram(('name', 'bar', 'photo'))"": True, ""trigram(('bar', 'photo', 'animated'))"": True, ""trigram(('photo', 'animated', 'class'))"": True, ""trigram(('animated', 'class', 'much'))"": True, ""trigram(('class', 'much', 'earning'))"": True, ""trigram(('much', 'earning', 'expensive'))"": True, ""trigram(('earning', 'expensive', 'gift'))"": True, ""trigram(('expensive', 'gift', 'want'))"": True, ""trigram(('gift', 'want', 'presence'))"": True, ""trigram(('want', 'presence', 'affection'))"": True, ""trigram(('presence', 'affection', 'love'))"": True, ""trigram(('affection', 'love', 'knowing'))"": True, ""trigram(('love', 'knowing', 'chosen'))"": True, ""trigram(('knowing', 'chosen', 'bridesmaids'))"": True, ""trigram(('chosen', 'bridesmaids', 'qualities'))"": True, ""trigram(('bridesmaids', 'qualities', 'feel'))"": True, ""trigram(('qualities', 'feel', 'choose'))"": True, ""trigram(('feel', 'choose', 'right'))"": True, ""trigram(('choose', 'right', 'bridesmaids'))"": True, ""trigram(('right', 'bridesmaids', '🌸'))"": True}",relief
1150,natalia-e-alex,#partiucasamento,['partiucasamento'],"{'length': 15, 'lexdiv': 1.0, 'longestword': 'partiucasamento', 'unigram(partiucasamento)': True}",neutral
1151,fernandaetiago2019,Wedy helped us a lot in the organizational part of our wedding. It is all very practical and easy access. Thank you Team Wedy!,"['wedy', 'helped', 'us', 'lot', 'organizational', 'part', 'wedding', 'practical', 'easy', 'access', 'thank', 'team', 'wedy']","{'length': 84, 'lexdiv': 0.9230769230769231, 'longestword': 'organizational', 'repeats(wedy)': 2, 'unigram(wedy)': True, 'unigram(helped)': True, 'unigram(us)': True, 'unigram(lot)': True, 'unigram(organizational)': True, 'unigram(part)': True, 'unigram(wedding)': True, 'unigram(practical)': True, 'unigram(easy)': True, 'unigram(access)': True, 'unigram(thank)': True, 'unigram(team)': True, ""bigram(('wedy', 'helped'))"": True, ""bigram(('helped', 'us'))"": True, ""bigram(('us', 'lot'))"": True, ""bigram(('lot', 'organizational'))"": True, ""bigram(('organizational', 'part'))"": True, ""bigram(('part', 'wedding'))"": True, ""bigram(('wedding', 'practical'))"": True, ""bigram(('practical', 'easy'))"": True, ""bigram(('easy', 'access'))"": True, ""bigram(('access', 'thank'))"": True, ""bigram(('thank', 'team'))"": True, ""bigram(('team', 'wedy'))"": True, ""trigram(('wedy', 'helped', 'us'))"": True, ""trigram(('helped', 'us', 'lot'))"": True, ""trigram(('us', 'lot', 'organizational'))"": True, ""trigram(('lot', 'organizational', 'part'))"": True, ""trigram(('organizational', 'part', 'wedding'))"": True, ""trigram(('part', 'wedding', 'practical'))"": True, ""trigram(('wedding', 'practical', 'easy'))"": True, ""trigram(('practical', 'easy', 'access'))"": True, ""trigram(('easy', 'access', 'thank'))"": True, ""trigram(('access', 'thank', 'team'))"": True, ""trigram(('thank', 'team', 'wedy'))"": True}",relief
1152,rodrigo-mariana-2019,Our Save.. 😍,"['save..', '😍']","{'length': 8, 'lexdiv': 1.0, 'longestword': 'save', 'unigram(save..)': True, 'unigram(😍)': True, ""bigram(('save..', '😍'))"": True}",happiness
